GexfID,Title,IMDB_id,ReleaseDate,Transitivity,Genre,Slug,WeightedDegree,Modularity,PathLength,Diameter,ClusteringCoefficient,ConnectedComponents,Density,Edges,Characters
28,Affliction,tt0118564,1997,0.434298441,['Drama'. 'Mystery'. 'Thriller'],Affliction,8667.00,0.30,1899.00,4000.00,0.62,1000.00,0.21,140.00,24.00
30,After Life,tt0838247,2009,0.364417178,['Drama'. 'Mystery'. 'Thriller'],After.Life,7077.00,0.34,2087.00,3000.00,0.62,3000.00,0.13,110.00,28.00
31,Agnes of God,tt0088683,1985,0.696428571,['Drama'. 'Mystery'],Agnes-of-God,13524.00,0.25,1514.00,2000.00,0.84,1000.00,0.49,164.00,21.00
32,Air Force One,tt0118571,1997,0.401091405,['Action'. 'Drama'. 'Thriller'],Air-Force-One,7719.00,0.44,2465.00,6000.00,0.51,10000.00,0.08,302.00,60.00
33,Airplane!,tt0080339,1980,0.407142857,['Comedy'],Airplane!,5958.00,0.51,1975.00,4000.00,0.56,9000.00,0.09,178.00,46.00
34,Airplane II: The Sequel,tt0083530,1982,0.414456115,['Comedy'. 'Sci-Fi'],Airplane-II:-The-Sequel,9043.00,0.49,2611.00,6000.00,0.68,10000.00,0.06,493.00,103.00
36,Ali,tt0248667,2001,0.332645694,['Biography'. 'Drama'. 'Sport'],Ali,9128.00,0.38,2234.00,5000.00,0.66,3000.00,0.09,345.00,71.00
38,Alien 3,tt0103644,1992,0.466562986,['Action'. 'Horror'. 'Sci-Fi'],Alien-3,9000.00,0.30,1807.00,3000.00,0.81,2000.00,0.24,119.00,20.00
39,Alien Nation,tt0094631,1988,0.37587007,['Action'. 'Sci-Fi'],Alien-Nation,7765.00,0.34,1865.00,3000.00,0.76,4000.00,0.15,165.00,34.00
40,AVP: Alien vs. Predator,tt0370263,2004,0.54778157,['Action'. 'Adventure'. 'Horror'],AVP:-Alien-vs.-Predator,12480.00,0.29,2033.00,4000.00,0.67,2000.00,0.25,209.00,22.00
41,Alien: Resurrection,tt0118583,1997,0.725382932,['Action'. 'Horror'. 'Sci-Fi'],Alien:-Resurrection,26414.00,0.15,1758.00,4000.00,0.66,3000.00,0.35,478.00,27.00
